duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong,urgent,count,srv_count,serror_rate,srv_serror_rate,rerror_rate ,diff_srv_rate ,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,Unnamed: 26,Unnamed: 27,predict
0,tcp,other,OTH,1514,0,0,0,0,6210,6210,0,0,0,0,1.0,0.0,0.0,95,95,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6211,6211,0,0,0,0,1.0,0.0,0.0,95,95,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6212,6212,0,0,0,0,1.0,0.0,0.0,95,95,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6213,6213,0,0,0,0,1.0,0.0,0.0,95,95,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6214,6214,0,0,0,0,1.0,0.0,0.0,95,95,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6215,6215,0,0,0,0,1.0,0.0,0.0,95,95,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6216,6216,0,0,0,0,1.0,0.0,0.0,95,95,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6217,6217,0,0,0,0,1.0,0.0,0.0,95,95,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6218,6218,0,0,0,0,1.0,0.0,0.0,95,95,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6219,6219,0,0,0,0,1.0,0.0,0.0,95,95,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6220,6220,0,0,0,0,1.0,0.0,0.0,95,95,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6221,6221,0,0,0,0,1.0,0.0,0.0,95,95,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6222,6222,0,0,0,0,1.0,0.0,0.0,95,95,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6223,6223,0,0,0,0,1.0,0.0,0.0,95,95,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6224,6224,0,0,0,0,1.0,0.0,0.0,95,95,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6225,6225,0,0,0,0,1.0,0.0,0.0,95,95,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6226,6226,0,0,0,0,1.0,0.0,0.0,95,95,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6227,6227,0,0,0,0,1.0,0.0,0.0,95,95,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6228,6228,0,0,0,0,1.0,0.0,0.0,95,95,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1513,0,0,0,0,6229,6229,0,0,0,0,1.0,0.0,0.0,95,95,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,http,OTH,60,0,0,0,0,195,195,0,0,0,0,1.0,0.0,0.0,5,5,1.0,0.0,0.83,0.0,0,0,0,0,normal
0,tcp,other,OTH,1514,0,0,0,0,6230,6230,0,0,0,0,1.0,0.0,0.0,94,94,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6231,6231,0,0,0,0,1.0,0.0,0.0,94,94,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6232,6232,0,0,0,0,1.0,0.0,0.0,94,94,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6233,6233,0,0,0,0,1.0,0.0,0.0,94,94,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6234,6234,0,0,0,0,1.0,0.0,0.0,94,94,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6235,6235,0,0,0,0,1.0,0.0,0.0,95,95,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6236,6236,0,0,0,0,1.0,0.0,0.0,95,95,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6237,6237,0,0,0,0,1.0,0.0,0.0,96,96,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6238,6238,0,0,0,0,1.0,0.0,0.0,96,96,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6239,6239,0,0,0,0,1.0,0.0,0.0,96,96,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6240,6240,0,0,0,0,1.0,0.0,0.0,96,96,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6241,6241,0,0,0,0,1.0,0.0,0.0,96,96,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6242,6242,0,0,0,0,1.0,0.0,0.0,96,96,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6243,6243,0,0,0,0,1.0,0.0,0.0,96,96,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6244,6244,0,0,0,0,1.0,0.0,0.0,96,96,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6245,6245,0,0,0,0,1.0,0.0,0.0,96,96,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6246,6246,0,0,0,0,1.0,0.0,0.0,96,96,1.0,0.0,0.99,0.0,0,0,0,0,neptune
